EmployeeID,Age,Age Group:,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Income Band,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsAtCompany Band,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
EMP0001,41,40+,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,5993,Medium,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,5-10,4,0,5
EMP0002,49,40+,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5130,Medium,24907,1,Y,No,23,4,4,80,1,10,3,3,10,5-10,7,1,7
EMP0003,37,30-40,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,Low,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,<2,0,0,0
EMP0004,33,30-40,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,2909,Low,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,5-10,7,3,0
EMP0005,27,Under 30,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,Medium,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2-5,2,2,2
EMP0006,32,30-40,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,Medium,11864,0,Y,No,13,3,3,80,0,8,2,2,7,5-10,7,3,6
EMP0007,59,40+,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,Low,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,<2,0,0,0
EMP0008,30,30-40,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,Low,13335,1,Y,No,22,4,2,80,1,1,2,3,1,<2,0,0,0
EMP0009,38,30-40,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,High,8787,0,Y,No,21,4,2,80,0,10,2,3,9,5-10,7,1,8
EMP0010,36,30-40,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,Medium,16577,6,Y,No,13,3,2,80,2,17,3,2,7,5-10,7,7,7
